flight_number,date_utc,year,rocket,payload_mass_kg,orbit,launch_site,reused,flights,gridfins,legs,landing_success,success,upcoming
1,2006-03-04T00:00:00.000Z,2006,Falcon 1,221.78690219102225,ISS,Kwajalein Atoll,False,1,False,False,,True,False
2,2006-04-27T00:00:00.000Z,2006,Falcon 1,339.2682248457384,LEO,Kwajalein Atoll,False,1,False,False,,True,False
3,2006-07-18T00:00:00.000Z,2006,Falcon 1,285.5069537427094,LEO,Kwajalein Atoll,False,1,False,False,,True,False
4,2006-08-14T00:00:00.000Z,2006,Falcon 1,480.7996815047751,GTO,Kwajalein Atoll,False,1,False,False,,False,False
5,2007-01-22T00:00:00.000Z,2007,Falcon 1,344.66148557827285,LEO,Kwajalein Atoll,False,1,False,False,,False,False
6,2007-11-01T00:00:00.000Z,2007,Falcon 1,235.6682718522191,SSO,Kwajalein Atoll,False,1,False,False,,False,False
7,2008-04-04T00:00:00.000Z,2008,Falcon 1,158.1294504054012,ISS,Kwajalein Atoll,False,1,False,False,,True,False
8,2008-07-21T00:00:00.000Z,2008,Falcon 1,424.9344033653683,LEO,Kwajalein Atoll,False,1,False,False,,False,False
9,2008-11-16T00:00:00.000Z,2008,Falcon 1,382.4424005141791,LEO,Kwajalein Atoll,False,1,False,False,,False,False
10,2008-11-21T00:00:00.000Z,2008,Falcon 1,224.0778453628795,LEO,Kwajalein Atoll,False,1,False,False,,False,False
11,2008-12-24T00:00:00.000Z,2008,Falcon 1,117.81174634662324,LEO,Kwajalein Atoll,False,1,False,False,,False,False
12,2008-12-27T00:00:00.000Z,2008,Falcon 1,222.7096704827339,MEO,Kwajalein Atoll,False,1,False,False,,False,False
13,2009-07-02T00:00:00.000Z,2009,Falcon 1,37.10839632588355,ISS,Kwajalein Atoll,False,1,False,False,,True,False
14,2010-03-11T00:00:00.000Z,2010,Falcon 9,7962.345675264995,LEO,VAFB SLC 4E,False,1,False,False,,True,False
15,2010-06-07T00:00:00.000Z,2010,Falcon 9,6814.352374194341,LEO,VAFB SLC 4E,False,1,False,False,,True,False
16,2010-08-04T00:00:00.000Z,2010,Falcon 9,4949.845716639736,GTO,KSC LC 39A,False,1,False,False,,True,False
17,2010-11-02T00:00:00.000Z,2010,Falcon 9,,GTO,KSC LC 39A,False,1,False,False,,True,False
18,2012-01-13T00:00:00.000Z,2012,Falcon 9,867.4459139860304,SSO,VAFB SLC 4E,False,1,False,False,,False,False
19,2012-02-19T00:00:00.000Z,2012,Falcon 9,7048.530821248557,LEO,CCSFS SLC 40,False,1,False,False,,True,False
20,2012-03-01T00:00:00.000Z,2012,Falcon 9,50.0,SSO,CCSFS SLC 40,False,1,False,False,,True,False
21,2012-05-12T00:00:00.000Z,2012,Falcon 9,2314.410638767293,ISS,KSC LC 39A,False,1,False,False,,True,False
22,2012-05-20T00:00:00.000Z,2012,Falcon 9,4514.765065402376,GTO,CCSFS SLC 40,False,1,False,False,,True,False
23,2012-06-08T00:00:00.000Z,2012,Falcon 9,2544.3426812312346,LEO,VAFB SLC 4E,False,1,False,False,,True,False
24,2013-01-01T00:00:00.000Z,2013,Falcon 9,5262.884237603974,LEO,VAFB SLC 4E,False,1,False,False,,False,False
25,2013-01-25T00:00:00.000Z,2013,Falcon 9,1204.278631305359,PO,KSC LC 39A,False,1,False,False,,True,False
26,2013-02-27T00:00:00.000Z,2013,Falcon 9,14088.831098939267,LEO,KSC LC 39A,False,1,False,False,,True,False
27,2013-03-28T00:00:00.000Z,2013,Falcon 9,11568.368982402768,LEO,VAFB SLC 4E,False,1,False,False,,True,False
28,2013-04-27T00:00:00.000Z,2013,Falcon 9,12343.267217278997,LEO,KSC LC 39A,False,1,False,False,,True,False
29,2013-06-08T00:00:00.000Z,2013,Falcon 9,4741.766161688146,GTO,CCSFS SLC 40,False,1,False,False,,True,False
30,2013-08-08T00:00:00.000Z,2013,Falcon 9,1236.610902137958,LEO,CCSFS SLC 40,False,1,False,False,,True,False
31,2013-10-27T00:00:00.000Z,2013,Falcon 9,11446.799537268049,LEO,KSC LC 39A,False,1,False,False,,True,False
32,2014-02-25T00:00:00.000Z,2014,Falcon 9,1857.4298568250395,ISS,KSC LC 39A,False,1,False,False,,True,False
33,2014-02-26T00:00:00.000Z,2014,Falcon 9,7277.8088060609725,GTO,VAFB SLC 4E,False,1,False,False,,True,False
34,2014-03-07T00:00:00.000Z,2014,Falcon 9,3023.1852998314043,ISS,CCSFS SLC 40,False,1,False,False,,True,False
35,2014-04-23T00:00:00.000Z,2014,Falcon 9,6020.79547043365,GTO,KSC LC 39A,False,1,False,False,,True,False
36,2014-05-20T00:00:00.000Z,2014,Falcon 9,2944.1338381634123,ISS,CCSFS SLC 40,False,1,False,False,,True,False
